STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
48,029,170200,5382,+29.421081,-098.520659
48,029,170300,6299,+29.420400,-098.534303
48,029,170401,4634,+29.441081,-098.531420
48,029,170402,5197,+29.434116,-098.534940
48,029,170500,4585,+29.449651,-098.526523
48,029,170600,4628,+29.451477,-098.550656
48,029,170700,4870,+29.443268,-098.551772
48,029,170800,1568,+29.433614,-098.546513
48,029,170900,4324,+29.423694,-098.548582
48,029,171000,5472,+29.423130,-098.559692
48,029,171100,3720,+29.421275,-098.567751
48,029,171200,4384,+29.436229,-098.564682
48,029,171301,2906,+29.444998,-098.567584
48,029,171302,5019,+29.453950,-098.570920
48,029,171401,4284,+29.441963,-098.594738
48,029,171402,5433,+29.442319,-098.581082
48,029,171501,2846,+29.415683,-098.581046
48,029,171502,4831,+29.427827,-098.580243
48,029,171601,4462,+29.418593,-098.619124
48,029,171602,3135,+29.420183,-098.598714
48,029,171700,7520,+29.425125,-098.635070
48,029,171801,5443,+29.412994,-098.639544
48,029,171802,6328,+29.405598,-098.636363
48,029,171902,9551,+29.431133,-098.656961
48,029,171903,6626,+29.407078,-098.656813
48,029,171912,6197,+29.481312,-098.681884
48,029,171913,5322,+29.423421,-098.672003
48,029,171914,5368,+29.433200,-098.679281
48,029,171915,2284,+29.424144,-098.683964
48,029,171916,6719,+29.425310,-098.697735
48,029,171917,8439,+29.442069,-098.697821
48,029,171918,5185,+29.446783,-098.685845
48,029,171919,3201,+29.392354,-098.684475
48,029,171920,8811,+29.404526,-098.678531
48,029,171921,6024,+29.398630,-098.698354
48,029,171922,3641,+29.408108,-098.688524
48,029,171923,7442,+29.456303,-098.650394
48,029,171924,4301,+29.453705,-098.673203
48,029,171925,9244,+29.468030,-098.660151
48,029,172002,8032,+29.409479,-098.729082
48,029,172003,6176,+29.440990,-098.719996
48,029,172004,2495,+29.483546,-098.758806
48,029,172005,3532,+29.493548,-098.730439
48,029,172006,6698,+29.449600,-098.782083
48,029,172007,9539,+29.449016,-098.735510
48,029,180101,5023,+29.459080,-098.536223
48,029,180102,1875,+29.465759,-098.537061
48,029,180201,5040,+29.477063,-098.532995
48,029,180202,5359,+29.474522,-098.541290
48,029,180300,4462,+29.467300,-098.556535
48,029,180400,4296,+29.462726,-098.569781
48,029,180501,4536,+29.469578,-098.586939
48,029,180503,4416,+29.459961,-098.592693
48,029,180504,4491,+29.452834,-098.591906
48,029,180602,3155,+29.478079,-098.555108
48,029,180603,1946,+29.484563,-098.585507
48,029,180604,5892,+29.481215,-098.569601
48,029,180701,3982,+29.499186,-098.567736
48,029,180702,6576,+29.493554,-098.586281
48,029,180800,2515,+29.487903,-098.551999
48,029,180901,5181,+29.500298,-098.540073
48,029,180902,7968,+29.498861,-098.530675
48,029,181001,3272,+29.514668,-098.542032
48,029,181003,6296,+29.520935,-098.564662
48,029,181004,4813,+29.512142,-098.561192
48,029,181005,3799,+29.502865,-098.554634
48,029,181100,5665,+29.528683,-098.550637
48,029,181200,4803,+29.537114,-098.538895
48,029,181301,4191,+29.547234,-098.558741
48,029,181302,6188,+29.543179,-098.567299
48,029,181303,3565,+29.526558,-098.570654
48,029,181402,1995,+29.511258,-098.579160
48,029,181403,5635,+29.526159,-098.579403
48,029,181404,4550,+29.527444,-098.588078
48,029,181503,6201,+29.512955,-098.601613
48,029,181504,5796,+29.505486,-098.593148
48,029,181505,4341,+29.499670,-098.604970
48,029,181506,4135,+29.492040,-098.607466
48,029,181601,3082,+29.472023,-098.606281
48,029,181602,5575,+29.458778,-098.606964
48,029,181703,6952,+29.528600,-098.652348
48,029,181704,5523,+29.498661,-098.633839
48,029,181705,4882,+29.481403,-098.617194
48,029,181711,7741,+29.508567,-098.652530
48,029,181712,3821,+29.493227,-098.659335
48,029,181713,7319,+29.486308,-098.649549
48,029,181715,6379,+29.500446,-098.686040
48,029,181716,7342,+29.508990,-098.690411
48,029,181718,5208,+29.527308,-098.672061
48,029,181720,4420,+29.535928,-098.663972
48,029,181721,3508,+29.540565,-098.673529
48,029,181722,4540,+29.513542,-098.674040
48,029,181723,4591,+29.520925,-098.678595
48,029,181724,4267,+29.549013,-098.684124
48,029,181725,5411,+29.467798,-098.633933
48,029,181726,9610,+29.532408,-098.704425
48,029,181727,3168,+29.469003,-098.640165
48,029,181728,10170,+29.511017,-098.708792
48,029,181729,3443,+29.521379,-098.736886
48,029,181730,3987,+29.493836,-098.670300
48,029,181731,7203,+29.502196,-098.673484
48,029,181808,1478,+29.538087,-098.598724
48,029,181809,6362,+29.551071,-098.622888
48,029,181811,4034,+29.529109,-098.635505
48,029,181813,6011,+29.555287,-098.578479
48,029,181814,3409,+29.573428,-098.586993
48,029,181815,2973,+29.548386,-098.596499
48,029,181816,4237,+29.556166,-098.608285
48,029,181817,3025,+29.512648,-098.616784
48,029,181818,4701,+29.527393,-098.609001
48,029,181819,5180,+29.566859,-098.606503
48,029,181820,7202,+29.578218,-098.615209
48,029,181821,3525,+29.541376,-098.622102
48,029,181822,4917,+29.522095,-098.625075
48,029,181823,2495,+29.576163,-098.636376
48,029,181824,5060,+29.565824,-098.641862
48,029,181825,3042,+29.551250,-098.655219
48,029,181826,6043,+29.554699,-098.637101
48,029,181901,3452,+29.601597,-098.621566
48,029,181902,5999,+29.651113,-098.642412
48,029,182001,4818,+29.569344,-098.663036
48,029,182002,8670,+29.584254,-098.666628
48,029,182003,3254,+29.598891,-098.640847
48,029,182101,6601,+29.723125,-098.641839
48,029,182102,6641,+29.689540,-098.657509
48,029,182103,2238,+29.658962,-098.704836
48,029,182105,2200,+29.550432,-098.778421
48,029,182106,5286,+29.570341,-098.710111
48,029,190100,3755,+29.448702,-098.507625
48,029,190200,4375,+29.452699,-098.490673
48,029,190400,4021,+29.463265,-098.488286
48,029,190501,2878,+29.460902,-098.520325
48,029,190503,3459,+29.459871,-098.503740
48,029,190504,2881,+29.459309,-098.511294
48,029,190601,3768,+29.471582,-098.521811
48,029,190603,2946,+29.473775,-098.503782
48,029,190604,4438,+29.475395,-098.513246
48,029,190700,3060,+29.476901,-098.495158
48,029,190800,2237,+29.474477,-098.487734
48,029,190901,5322,+29.507725,-098.498187
48,029,190902,3783,+29.509306,-098.487062
48,029,191003,7762,+29.502774,-098.520412
48,029,191004,3730,+29.497696,-098.508281
48,029,191005,2272,+29.485453,-098.504148
48,029,191006,6674,+29.486260,-098.516729
48,029,191101,1628,+29.526391,-098.518848
48,029,191102,2488,+29.513304,-098.513548
48,029,191201,3143,+29.541016,-098.500707
48,029,191202,5345,+29.531720,-098.506328
48,029,191303,1561,+29.555307,-098.476606
48,029,191304,3054,+29.529786,-098.491870
48,029,191405,7619,+29.567030,-098.533551
48,029,191406,6468,+29.596893,-098.521306
48,029,191408,2989,+29.549732,-098.515312
48,029,191409,5906,+29.544103,-098.522428
48,029,191410,5491,+29.554675,-098.508581
48,029,191411,4434,+29.567933,-098.513382
48,029,191412,2313,+29.591651,-098.536618
48,029,191413,6032,+29.579021,-098.525563
48,029,191503,5216,+29.574973,-098.572106
48,029,191504,2412,+29.580726,-098.560285
48,029,191505,2079,+29.555853,-098.554728
48,029,191506,4842,+29.559822,-098.543189
48,029,191701,1558,+29.586262,-098.490107
48,029,191702,7064,+29.596523,-098.497376
48,029,191804,6322,+29.695973,-098.502353
48,029,191806,8005,+29.613614,-098.531759
48,029,191807,3952,+29.650563,-098.607373
48,029,191808,3618,+29.660047,-098.464607
48,029,191809,5467,+29.679751,-098.487610
48,029,191810,5391,+29.676861,-098.465266
48,029,191811,4339,+29.656126,-098.511306
48,029,191812,3728,+29.654986,-098.489291
48,029,191813,6742,+29.644892,-098.499118
48,029,191814,4536,+29.694782,-098.465971
48,029,191815,5292,+29.629763,-098.507404
48,029,191816,2761,+29.618733,-098.502353
48,029,191817,9732,+29.632018,-098.479459
48,029,191900,4922,+29.428571,-098.468670
48,029,192000,5244,+29.458266,-098.466384
48,029,192100,2077,+29.410470,-098.493365
48,029,192200,1264,+29.342642,-098.459242
48,029,192300,4448,+29.564667,-098.497476
48,029,980001,4,+29.697941,-098.587983
48,029,980002,4,+29.372732,-098.549110
48,029,980003,1802,+29.369543,-098.649391
48,029,980004,0,+29.536930,-098.468009
48,029,980005,25,+29.558933,-098.772154
48,029,980100,301,+29.373733,-098.590635
48,031,950100,4963,+30.303538,-098.385819
48,031,950200,5534,+30.079634,-098.399927
48,033,950100,641,+32.746089,-101.426185
48,035,950100,4366,+32.034367,-097.700233
48,035,950200,1536,+31.926299,-097.655193
48,035,950300,1604,+31.966345,-097.513668
48,035,950400,3703,+31.777400,-097.561542
48,035,950500,2992,+31.780516,-097.581570
48,035,950600,1567,+31.872386,-097.395636
48,035,950700,2444,+31.667655,-097.483776
48,037,010100,5172,+33.449032,-094.049421
48,037,010400,4237,+33.402657,-094.075902
48,037,010500,2889,+33.425166,-094.055825
