state,county,tract,B08134_022E,B08134_023E,B08134_024E,B08134_025E,B08134_026E,B08134_027E,B08134_028E,B08134_029E,B08134_030E,B08134_032E,B08134_033E,B08134_034E,B08134_035E,B08134_036E,B08134_037E,B08134_038E,B08134_039E,B08134_040E,B08134_062E,B08134_063E,B08134_064E,B08134_065E,B08134_066E,B08134_067E,B08134_068E,B08134_069E,B08134_070E,B08134_102E,B08134_103E,B08134_104E,B08134_105E,B08134_106E,B08134_107E,B08134_108E,B08134_109E,B08134_110E,B08134_112E,B08134_113E,B08134_114E,B08134_115E,B08134_116E,B08134_117E,B08134_118E,B08134_119E,B08134_120E
48,015,760502,463,211,231,104,128,191,11,23,235,90,35,0,0,0,0,0,72,63,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,75,0,18,0,0,0,0,23,0
48,017,950100,983,598,204,149,42,242,167,33,178,64,16,17,12,0,0,95,0,27,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,11,12,0,0,12,0,0,71
48,019,000101,554,91,96,151,30,175,92,192,277,6,4,38,0,0,0,21,0,96,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
48,019,000102,60,357,340,136,75,354,131,177,255,0,0,6,0,0,27,35,0,68,0,0,0,0,0,0,0,26,0,45,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,019,000200,85,18,0,96,0,104,31,68,81,18,24,1,0,6,56,0,0,6,0,0,0,0,0,2,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
48,019,000300,82,39,318,214,51,462,171,470,581,0,0,0,29,0,16,21,0,84,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
48,019,000400,73,38,33,40,24,29,191,213,212,17,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
48,021,950100,287,338,270,170,85,305,284,1161,438,31,26,21,32,0,35,204,113,114,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21
48,021,950200,436,143,270,279,218,383,463,308,225,213,0,20,0,0,52,0,37,190,0,0,0,0,0,0,0,0,33,0,0,8,0,0,0,0,0,0,0,37,0,0,0,0,55,0,18
48,021,950300,766,374,480,320,279,653,590,982,340,130,16,36,14,0,139,60,141,171,0,0,0,0,0,0,0,0,66,77,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,17
