state,county,tract,B14003_005E,B14003_006E,B14003_007E,B14003_008E,B14003_009E,B14003_010E,B14003_011E,B14003_014E,B14003_015E,B14003_016E,B14003_017E,B14003_018E,B14003_019E,B14003_020E,B14003_023E,B14003_024E,B14003_025E,B14003_026E,B14003_027E,B14003_028E,B14003_029E,B14003_033E,B14003_034E,B14003_035E,B14003_036E,B14003_037E,B14003_038E,B14003_039E,B14003_042E,B14003_043E,B14003_044E,B14003_045E,B14003_046E,B14003_047E,B14003_048E,B14003_051E,B14003_052E,B14003_053E,B14003_054E,B14003_055E,B14003_056E,B14003_057E
48,113,009303,135,96,40,21,0,18,20,0,0,0,0,0,13,0,0,6,0,13,163,284,821,117,180,122,41,70,76,2,0,0,0,0,0,0,0,0,6,0,4,153,210,954
48,113,009304,277,394,153,42,64,0,21,0,0,0,0,0,5,0,25,0,0,24,29,252,829,541,292,160,26,30,7,9,0,0,0,9,0,0,0,76,0,28,86,186,629,1140
48,113,009401,89,50,67,29,16,31,0,10,7,9,8,0,0,0,0,0,0,0,63,316,1076,181,70,114,51,16,29,9,11,0,0,0,0,6,0,0,0,5,0,166,199,869
48,113,009402,9,64,11,29,17,4,3,44,39,0,0,12,0,0,0,0,0,15,22,132,774,17,36,12,0,10,15,2,28,34,7,0,4,0,0,0,0,0,0,11,141,792
48,113,009500,69,58,22,31,26,7,31,24,54,27,0,0,9,12,4,0,0,0,5,110,683,20,10,0,0,8,0,7,54,48,27,10,0,0,5,0,0,0,0,0,79,744
48,113,009603,97,28,43,40,44,41,20,62,51,103,54,11,9,0,15,5,0,0,10,173,1484,7,0,0,8,0,0,34,137,156,96,12,0,0,0,0,0,0,0,6,124,1645
48,113,009604,113,60,60,0,0,0,0,21,48,120,0,0,0,11,0,0,0,41,113,202,1078,199,103,90,0,0,12,0,20,26,16,0,0,0,0,0,0,0,18,72,177,1563
48,113,009605,136,85,62,0,0,37,0,0,0,0,0,16,0,0,0,9,0,13,184,277,854,52,70,125,65,93,22,18,19,0,0,5,0,0,0,15,0,0,19,33,216,872
48,113,009607,77,88,55,55,11,12,49,26,8,26,12,0,0,0,5,5,0,14,178,257,997,95,94,58,10,25,0,16,28,27,0,21,0,0,5,0,0,0,0,87,315,963
48,113,009608,107,146,36,0,0,34,14,10,12,8,0,0,0,0,0,0,0,0,23,297,1388,49,45,74,36,16,0,19,62,67,25,0,0,0,0,0,13,0,1,106,155,1172
48,113,009609,45,22,15,10,0,0,19,113,37,15,0,15,0,0,0,0,0,0,55,58,983,12,4,14,7,8,0,34,31,53,0,0,0,0,0,0,0,0,0,28,125,927
48,113,009610,342,132,103,24,19,0,0,0,0,0,0,0,6,0,0,0,0,44,294,696,818,265,232,97,40,49,0,0,0,0,0,0,0,0,0,0,0,0,58,123,546,685
48,113,009611,207,33,10,0,12,9,35,0,0,0,0,0,24,33,15,0,20,53,34,169,923,122,206,78,7,51,58,55,0,0,0,0,0,0,0,0,0,0,22,97,183,798
48,113,009701,147,150,99,104,82,18,0,35,10,11,0,11,0,0,0,0,0,94,77,574,1188,216,64,97,11,51,12,20,9,8,0,9,0,0,8,26,0,0,44,192,486,1047
48,113,009702,78,21,53,40,5,9,0,38,66,11,8,0,0,0,0,0,0,0,0,157,825,26,84,27,0,19,17,9,40,58,24,0,0,19,0,0,0,0,0,0,262,939
48,113,009802,255,161,117,93,56,9,0,0,10,0,0,9,0,0,0,0,0,73,78,617,1163,202,268,182,29,19,61,14,0,9,7,0,0,0,12,20,0,15,53,259,359,1382
48,113,009803,134,73,61,32,12,0,11,0,10,0,8,7,19,0,0,0,0,0,38,87,526,80,91,113,16,16,12,22,0,0,0,0,0,5,0,10,0,0,0,15,163,511
48,113,009804,435,547,182,81,31,0,0,0,18,24,0,18,0,0,14,0,41,111,337,924,1779,524,341,221,25,23,0,16,0,0,0,0,0,15,0,0,0,0,0,208,624,1224
48,113,009900,70,96,20,14,0,9,0,0,0,0,0,30,7,0,13,0,0,0,66,433,499,96,50,8,12,0,8,7,0,0,0,0,8,0,0,0,0,0,0,57,368,447
48,113,010000,110,90,50,14,73,123,91,13,0,0,13,0,20,16,0,20,24,154,1087,2163,3836,52,99,6,5,64,239,43,0,0,9,0,14,36,1,0,0,6,56,299,1095,1571
48,113,010101,245,246,92,69,26,0,0,0,0,0,0,0,0,12,16,0,0,31,164,387,844,146,118,53,0,51,43,42,0,0,10,0,0,0,8,12,0,38,53,139,267,1031
48,113,010102,132,93,57,15,13,16,49,0,18,0,0,0,0,0,4,0,0,37,68,245,795,98,115,74,29,53,32,0,18,8,0,0,20,0,0,0,0,0,36,40,199,649
48,113,010500,176,143,58,20,57,8,6,0,0,0,0,0,0,0,0,0,0,23,195,166,652,159,131,160,0,0,8,31,0,0,0,0,0,0,0,0,0,0,17,22,236,744
48,113,010601,124,250,149,81,39,24,0,33,11,0,0,0,0,0,0,0,0,8,225,473,1373,355,266,244,39,89,61,8,23,0,6,0,0,0,0,0,0,0,50,207,316,1229
48,113,010602,199,84,93,17,10,0,6,11,0,0,0,0,0,0,32,0,12,7,81,197,415,197,102,41,9,48,52,43,14,0,0,0,0,0,0,0,0,0,9,114,218,481
48,113,010701,146,201,169,9,12,70,19,0,0,0,0,0,0,11,11,0,0,0,268,491,910,195,90,92,24,92,15,105,0,13,13,0,0,0,15,0,0,0,54,179,333,771
48,113,010703,150,140,55,25,28,0,6,0,3,0,0,0,0,0,14,0,6,47,98,268,599,103,106,81,21,0,0,24,0,9,0,0,0,0,0,0,5,5,0,40,146,622
