state,county,tract,C18108_003E,C18108_004E,C18108_005E,C18108_007E,C18108_008E,C18108_009E,C18108_011E,C18108_012E,C18108_013E
48,029,151600,102,49,1733,213,384,3871,206,270,502
48,029,151700,20,15,2005,268,284,3613,157,272,456
48,029,151900,76,0,1775,324,226,3324,38,288,218
48,029,152000,47,38,719,87,80,1044,54,36,20
48,029,152100,79,11,1136,263,382,2452,164,206,204
48,029,152201,198,27,2489,387,428,3960,85,229,452
48,029,152202,66,13,1382,290,215,2338,19,161,97
48,029,160100,91,7,2060,409,341,3001,88,217,401
48,029,160200,16,5,525,112,54,1205,39,111,227
48,029,160300,42,33,1426,322,410,2435,164,210,374
48,029,160400,80,29,1022,181,215,2121,120,190,435
48,029,160501,215,63,1483,141,174,1595,65,148,164
48,029,160502,67,0,1040,154,161,2044,136,175,316
48,029,160600,130,67,1551,268,217,2345,133,129,316
48,029,160701,0,0,734,124,244,1709,98,145,231
48,029,160702,38,91,1044,240,357,2266,102,214,443
48,029,160901,28,30,722,99,239,1487,109,69,102
48,029,160902,65,14,1374,377,218,2596,52,204,231
48,029,161000,105,28,1130,193,247,1739,54,223,121
48,029,161100,149,24,2534,224,497,5125,176,447,455
48,029,161200,65,15,1046,71,156,1320,36,55,115
48,029,161302,103,104,2146,142,184,3059,29,138,202
48,029,161303,141,14,1718,331,249,2588,22,67,128
48,029,161304,64,86,1546,180,142,2163,75,63,121
48,029,161400,14,0,682,50,4,405,0,0,0
48,029,161501,67,46,2368,352,452,3704,260,171,487
48,029,161503,29,9,1218,204,190,2048,63,112,124
48,029,161504,32,46,1490,210,142,2383,46,77,242
48,029,161600,72,22,1586,155,270,2306,51,95,259
48,029,161801,40,8,1185,75,148,1833,75,101,170
48,029,161802,44,0,3092,201,287,3543,63,130,195
48,029,161901,0,0,193,18,74,699,9,46,109
48,029,161902,73,0,1934,210,193,4159,110,255,505
48,029,162001,7,23,630,120,98,1085,102,122,101
48,029,162003,43,15,1405,166,180,2770,70,245,314
48,029,162004,60,0,1011,134,112,2026,62,127,181
48,029,170101,113,0,1089,130,248,1855,75,169,195
48,029,170102,22,36,1037,197,139,2380,122,117,103
48,029,170200,70,17,1394,264,313,2459,109,369,424
48,029,170300,52,33,1856,288,284,3527,118,121,291
48,029,170401,54,0,1360,243,306,1883,30,274,128
48,029,170402,21,0,1099,165,237,2343,164,158,172
48,029,170500,42,0,985,109,143,2284,92,379,396
48,029,170600,5,27,1223,228,198,2269,110,173,388
48,029,170700,71,24,1435,314,268,2175,105,264,190
48,029,170800,81,17,313,89,86,512,34,63,49
48,029,170900,91,39,735,283,213,1625,130,221,243
48,029,171000,161,40,1893,454,214,2902,173,145,314
48,029,171100,10,9,1090,233,288,1687,141,207,263
48,029,171200,28,12,1168,224,174,2155,89,249,170
48,029,171301,26,6,632,93,294,1341,82,187,165
48,029,171302,0,0,998,225,91,2520,189,167,304
48,029,171401,59,46,1869,229,213,2575,35,27,43
48,029,171402,138,23,1452,340,328,2379,137,297,246
48,029,171501,45,0,613,144,144,1255,114,102,75
48,029,171502,0,10,1394,237,334,2318,186,345,289
48,029,171601,18,25,1479,257,145,2293,45,102,188
48,029,171602,25,0,1374,221,147,1562,58,62,75
48,029,171700,139,132,1634,319,497,3660,203,234,561
48,029,171801,140,51,1499,249,348,2741,107,202,410
48,029,171802,49,0,2083,168,397,3375,269,188,253
