state,county,tract,B11016_003E,B11016_004E,B11016_005E,B11016_006E,B11016_007E,B11016_008E,B11016_010E,B11016_011E,B11016_012E,B11016_013E,B11016_014E,B11016_015E,B11016_016E
48,029,170700,325,256,203,177,47,86,307,9,0,0,0,0,0
48,029,170800,91,95,74,9,22,5,177,6,0,0,0,0,0
48,029,170900,234,239,139,73,24,52,327,19,0,0,0,0,0
48,029,171000,402,306,109,275,116,128,240,65,0,0,0,0,0
48,029,171100,288,196,175,168,37,49,333,0,0,0,0,0,0
48,029,171200,197,125,227,146,64,88,190,77,0,0,0,0,0
48,029,171301,306,125,182,48,61,4,148,17,0,0,0,0,0
48,029,171302,355,115,76,122,35,60,211,43,36,0,0,0,0
48,029,171401,254,216,265,198,127,68,136,17,0,24,0,0,0
48,029,171402,325,229,308,179,135,31,294,25,0,0,0,0,0
48,029,171501,126,103,177,64,49,10,197,19,0,0,0,0,0
48,029,171502,280,389,183,122,61,93,422,0,0,0,0,0,0
48,029,171601,212,311,296,168,92,0,196,0,14,0,0,0,0
48,029,171602,141,206,148,52,6,157,166,0,0,0,0,0,0
48,029,171700,712,658,274,196,83,14,365,23,22,80,0,0,0
48,029,171801,525,231,189,158,136,72,526,28,0,0,0,0,0
48,029,171802,373,318,328,122,153,111,531,112,0,0,0,0,0
48,029,171902,606,674,626,364,120,124,1337,237,0,0,0,0,0
48,029,171903,633,388,301,242,77,78,421,73,0,0,0,0,0
48,029,171912,546,419,313,280,17,64,298,25,0,0,0,0,0
48,029,171913,513,291,360,131,52,32,266,108,5,0,0,0,0
48,029,171914,424,288,388,208,97,16,127,60,17,0,0,0,0
48,029,171915,171,100,126,116,6,22,87,24,0,0,0,0,0
48,029,171916,453,368,527,404,144,21,313,58,13,0,0,0,0
48,029,171917,669,395,622,337,101,121,407,163,0,0,0,0,0
48,029,171918,386,293,278,275,62,20,527,93,0,28,0,0,0
48,029,171919,185,235,137,169,56,49,173,53,37,0,0,0,0
48,029,171920,616,487,369,373,90,160,209,71,53,0,0,0,0
48,029,171921,356,377,220,169,90,90,298,63,15,0,0,0,0
48,029,171922,152,140,272,127,58,12,173,48,0,0,0,0,0
