state,county,tract,B16005B_003E,B16005B_005E,B16005B_006E,B16005B_008E,B16005B_010E,B16005B_011E,B16005C_003E,B16005C_005E,B16005C_006E,B16005C_008E,B16005C_010E,B16005C_011E,B16005D_003E,B16005D_005E,B16005D_006E,B16005D_008E,B16005D_010E,B16005D_011E,B16005E_003E,B16005E_005E,B16005E_006E,B16005E_008E,B16005E_010E,B16005E_011E,B16005F_003E,B16005F_005E,B16005F_006E,B16005F_008E,B16005F_010E,B16005F_011E,B16005G_003E,B16005G_005E,B16005G_006E,B16005G_008E,B16005G_010E,B16005G_011E,B16005H_003E,B16005H_005E,B16005H_006E,B16005H_008E,B16005H_010E,B16005H_011E,B16005I_003E,B16005I_005E,B16005I_006E,B16005I_008E,B16005I_010E,B16005I_011E
48,085,032004,642,19,0,0,12,0,16,0,0,0,0,89,115,0,0,16,80,92,0,0,0,0,0,0,50,14,31,0,16,69,352,80,0,49,73,36,2936,66,10,113,96,85,582,901,213,19,386,999
48,085,032008,216,0,0,27,29,0,17,0,0,0,0,0,32,64,13,10,79,135,0,0,0,0,0,0,0,39,0,0,6,11,29,0,0,0,0,0,2044,126,0,54,0,7,154,318,61,7,130,293
48,085,032009,667,0,0,0,0,0,16,0,0,0,0,0,380,155,22,47,784,461,0,0,0,0,0,0,13,0,0,0,0,34,143,158,27,18,0,0,2895,71,0,44,229,59,195,251,9,0,36,54
48,085,032010,337,15,0,0,11,52,0,0,0,0,12,10,24,53,0,45,47,80,12,0,0,0,0,0,0,23,0,0,64,45,92,39,9,11,0,0,1511,48,0,0,147,26,64,434,33,50,227,1076
48,085,032011,341,83,0,16,55,69,66,0,0,0,0,0,236,264,31,90,617,340,0,48,0,0,0,0,34,0,0,0,7,0,233,65,0,0,69,49,2477,199,0,48,243,0,248,59,6,22,41,50
48,085,032012,250,0,0,0,78,0,0,0,0,0,0,0,30,18,20,11,91,33,0,0,0,0,0,0,0,67,10,0,37,21,13,0,0,0,0,0,1033,14,12,38,23,0,127,643,229,44,289,989
48,085,032013,564,19,0,11,97,109,0,0,0,0,0,0,40,312,14,22,593,237,0,31,0,0,0,0,94,295,0,50,10,54,135,45,0,0,17,0,1533,26,0,115,32,40,29,607,120,65,54,657
48,087,950300,97,0,0,0,0,0,39,8,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,90,40,1,0,19,46,49,12,2,0,0,0,1611,49,1,0,10,109,244,246,27,0,90,234
48,089,750100,1147,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,89,0,0,19,28,0,0,0,0,0,0,1443,38,0,7,0,0,483,768,122,7,367,188
48,089,750200,67,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,41,16,0,5,20,32,0,0,0,0,0,1322,0,10,0,0,0,15,247,21,0,82,58
48,089,750300,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,22,3036,19,25,80,0,0,384,299,8,5,82,88
48,089,750400,202,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,45,197,0,0,0,0,0,0,0,0,0,0,3421,221,36,0,4,0,149,502,4,0,113,60
48,089,750500,651,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,47,0,0,47,34,9,9,0,0,0,0,1976,78,11,0,5,0,237,358,69,0,131,232
48,091,310100,98,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,49,30,0,0,0,0,1722,78,20,18,0,0,563,294,76,0,174,102
48,091,310200,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,87,68,7,0,0,25,20,23,31,0,0,0,1064,34,0,20,36,0,448,541,139,0,126,178
48,091,310300,199,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,11,0,57,0,0,0,0,0,4978,230,13,51,0,0,572,539,0,0,40,72
