state,county,tract,B23001_005E,B23001_007E,B23001_008E,B23001_009E,B23001_012E,B23001_014E,B23001_015E,B23001_016E,B23001_019E,B23001_021E,B23001_022E,B23001_023E,B23001_026E,B23001_028E,B23001_029E,B23001_030E,B23001_033E,B23001_035E,B23001_036E,B23001_037E,B23001_040E,B23001_042E,B23001_043E,B23001_044E,B23001_047E,B23001_049E,B23001_050E,B23001_051E,B23001_054E,B23001_056E,B23001_057E,B23001_058E,B23001_061E,B23001_063E,B23001_064E,B23001_065E,B23001_068E,B23001_070E,B23001_071E,B23001_072E,B23001_075E,B23001_076E,B23001_077E,B23001_080E,B23001_081E,B23001_082E,B23001_085E,B23001_086E,B23001_087E,B23001_091E,B23001_093E,B23001_094E,B23001_095E,B23001_098E,B23001_100E,B23001_101E,B23001_102E,B23001_105E,B23001_107E,B23001_108E,B23001_109E,B23001_112E,B23001_114E,B23001_115E,B23001_116E,B23001_119E,B23001_121E,B23001_122E,B23001_123E,B23001_126E,B23001_128E,B23001_129E,B23001_130E,B23001_133E,B23001_135E,B23001_136E,B23001_137E,B23001_140E,B23001_142E,B23001_143E,B23001_144E,B23001_147E,B23001_149E,B23001_150E,B23001_151E,B23001_154E,B23001_156E,B23001_157E,B23001_158E,B23001_161E,B23001_162E,B23001_163E,B23001_166E,B23001_167E,B23001_168E,B23001_171E,B23001_172E,B23001_173E
48,439,111546,0,47,34,148,0,82,21,0,0,34,18,0,0,138,64,0,0,127,0,0,0,400,24,26,0,378,54,79,0,168,12,0,0,140,0,55,0,67,0,45,24,0,106,10,0,60,10,0,75,0,54,0,183,0,107,0,109,0,230,0,53,0,185,0,36,0,215,0,34,0,432,0,10,0,543,38,23,0,307,14,113,0,51,0,12,0,87,0,42,69,29,124,0,0,64,0,0,114
48,439,111547,0,106,23,642,0,208,0,38,0,346,0,118,0,641,100,69,0,414,0,0,0,956,0,49,0,934,0,19,0,529,79,94,0,82,16,51,0,99,0,105,93,0,65,45,0,27,0,0,29,0,76,0,563,0,103,0,0,0,632,0,168,0,360,19,267,0,668,0,98,0,1088,25,95,0,1090,50,140,0,195,32,64,0,87,108,43,0,68,0,167,0,0,78,32,0,26,0,0,267
48,439,111548,0,97,19,91,0,0,0,82,0,100,0,76,0,134,40,0,0,430,0,0,0,562,0,0,0,481,16,74,0,226,10,14,0,58,0,46,0,32,16,27,14,0,30,0,0,60,0,0,71,0,47,42,58,0,0,0,18,0,103,17,14,0,134,0,90,0,193,33,39,0,776,10,89,0,527,85,47,0,119,0,0,0,41,16,132,0,13,0,47,29,0,28,0,0,19,0,0,50
48,439,111549,0,97,20,61,0,64,0,22,0,43,0,0,0,263,33,53,0,313,0,0,0,821,45,52,0,492,13,22,0,166,70,0,0,71,0,19,0,45,0,0,0,0,48,0,0,59,0,0,0,0,23,0,95,0,135,0,0,0,0,0,0,0,288,0,11,0,243,32,148,0,727,26,160,0,375,0,52,0,138,0,17,0,12,0,55,0,22,0,105,0,0,96,0,0,68,0,0,93
48,439,111550,0,196,61,354,0,235,28,0,0,222,0,70,0,303,34,3,0,321,0,4,0,1407,36,37,0,1071,39,26,0,425,0,0,0,58,0,14,0,46,0,0,0,0,109,0,0,87,12,0,28,0,220,11,304,0,199,0,41,0,61,19,95,0,217,14,106,0,250,0,95,0,817,124,475,0,661,36,239,0,331,0,26,0,100,0,32,0,53,0,73,77,0,135,0,0,36,0,0,45
48,439,111551,0,113,0,126,0,127,0,54,0,55,0,37,0,114,0,0,0,173,0,10,12,504,0,25,0,524,13,14,0,116,20,0,0,95,0,0,0,109,18,86,18,0,71,18,0,26,0,0,59,0,43,16,122,0,68,0,0,0,101,0,0,0,80,0,18,0,145,96,0,0,655,0,119,0,544,0,122,0,66,0,20,0,0,0,0,0,40,0,197,37,0,52,0,0,45,0,0,48
48,439,111552,10,26,9,38,0,83,0,15,0,63,10,0,0,9,0,11,0,12,0,9,0,189,0,12,0,261,133,19,0,75,0,9,0,33,0,23,0,67,0,8,22,0,52,8,0,57,16,0,89,0,72,0,91,0,29,49,12,0,75,46,0,0,47,9,0,0,12,14,20,0,96,9,82,0,281,9,13,0,140,0,49,0,23,0,66,0,36,0,38,54,0,136,0,0,98,8,0,199
48,439,111553,0,22,0,27,0,7,0,0,0,92,0,11,0,257,0,28,0,84,57,0,0,265,0,26,0,165,0,29,0,112,71,10,0,60,0,3,0,9,0,0,0,0,40,8,0,66,0,0,88,0,30,0,50,0,35,0,100,0,99,0,87,0,197,10,36,0,75,0,70,0,187,0,58,0,115,13,87,0,116,0,9,0,9,0,12,0,23,0,29,17,0,71,16,0,24,9,0,65
48,439,113001,0,58,5,27,0,33,27,9,0,86,0,0,0,101,48,0,0,139,0,0,0,283,0,10,0,276,7,5,0,134,0,20,0,30,0,10,0,7,0,31,42,0,21,0,0,54,12,0,68,0,0,0,32,0,49,0,9,0,74,0,0,0,53,11,18,0,6,0,16,0,223,34,17,0,320,0,74,0,127,0,63,0,12,0,35,0,75,0,7,25,0,25,11,0,50,22,0,86
48,439,113002,0,38,0,137,0,41,0,55,0,80,36,26,0,305,46,0,0,360,0,0,0,348,74,17,0,264,15,37,0,143,24,85,0,39,0,29,0,23,0,0,55,0,46,26,0,0,0,0,31,0,80,19,104,0,114,0,0,0,76,29,19,0,201,71,44,0,262,71,19,0,378,9,142,0,163,31,144,0,116,0,56,0,17,0,33,0,27,0,98,93,0,93,0,0,42,0,0,36
