state,county,tract,B08006_020E,B08006_021E,B08006_025E,B08006_031E,B08006_032E,B08006_033E,B08006_034E,B08006_037E,B08006_038E,B08006_042E,B08006_048E,B08006_049E,B08006_050E,B08006_051E
48,029,121809,967,135,23,0,0,19,11,942,197,0,0,0,23,61
48,029,121810,1013,69,0,0,17,6,32,1110,61,8,0,10,18,38
48,029,121811,1233,78,0,0,25,52,43,902,111,11,0,0,13,54
48,029,121812,1373,80,21,0,0,0,21,1564,104,112,0,0,3,33
48,029,121813,387,18,2,0,0,0,19,318,52,14,0,0,17,33
48,029,121903,1376,83,0,0,0,24,91,880,80,0,0,0,0,85
48,029,121904,836,21,9,0,0,13,48,607,44,0,0,0,0,55
48,029,121905,1271,103,0,0,18,24,258,839,60,0,0,0,30,204
48,029,121906,1347,133,0,0,0,22,48,1032,325,0,0,0,0,21
48,029,121907,2805,118,0,16,0,87,146,1954,150,28,0,0,42,205
48,029,121908,433,13,0,0,0,4,94,503,52,18,0,0,3,81
48,029,121909,1158,187,2,0,15,25,74,979,263,0,0,16,0,33
48,029,121910,895,38,33,0,0,13,0,1018,120,9,0,0,10,15
48,029,130200,326,100,64,0,8,57,7,141,45,58,15,0,14,0
48,029,130300,482,147,24,0,0,0,56,379,50,40,0,0,0,0
48,029,130401,568,49,186,0,0,11,54,272,72,67,0,0,0,0
48,029,130402,552,127,32,0,20,25,0,330,86,122,0,12,0,22
48,029,130500,363,166,89,47,0,0,33,388,114,90,0,0,0,54
48,029,130600,359,145,47,0,13,23,12,406,103,87,0,15,0,0
48,029,130700,371,63,31,6,15,0,10,196,22,32,0,12,53,11
48,029,130800,597,302,64,0,13,0,24,553,159,60,0,10,24,10
48,029,130900,456,167,38,0,28,8,0,675,26,31,0,0,0,0
48,029,131000,585,207,61,0,41,0,0,663,114,28,0,0,0,0
48,029,131100,315,71,40,0,0,31,24,446,68,7,0,0,0,5
48,029,131200,294,81,54,0,0,0,26,473,166,58,0,0,0,0
48,029,131300,913,29,30,24,0,0,0,746,75,91,0,0,88,33
48,029,131401,1483,343,0,0,0,76,40,1223,180,0,0,0,0,20
48,029,131402,394,71,45,0,1,0,63,410,83,66,0,0,0,9
48,029,131503,679,158,42,0,10,19,0,569,110,36,0,0,0,48
48,029,131504,865,108,0,0,0,24,9,485,113,0,0,0,0,15
48,029,131505,716,104,11,0,0,6,0,523,82,18,0,0,28,28
48,029,131506,710,100,6,0,0,0,0,651,72,0,0,0,0,15
48,029,131507,804,239,60,0,40,69,0,857,263,8,0,0,71,16
48,029,131601,527,118,6,0,0,25,9,365,167,0,0,0,0,48
48,029,131606,1152,78,2,8,27,0,34,952,59,18,0,35,0,0
48,029,131608,906,110,29,0,53,7,6,1106,129,0,0,0,5,44
48,029,131609,1785,300,24,0,28,50,24,1489,187,0,0,0,56,14
48,029,131610,1230,119,47,0,11,0,40,1163,188,44,0,0,14,27
48,029,131611,221,20,0,0,0,0,0,237,33,0,0,0,0,0
48,029,131612,313,60,0,0,16,0,22,398,43,0,0,0,0,0
48,029,131613,988,73,10,0,8,14,19,757,58,0,0,9,0,123
48,029,131614,726,141,7,0,18,0,0,577,146,0,15,17,0,0
48,029,131615,1354,195,0,0,0,52,0,1608,292,0,0,0,15,53
48,029,131700,188,18,0,5,51,5,39,89,2,0,0,32,2,37
48,029,131801,629,53,4,0,13,8,25,437,17,3,0,15,0,11
48,029,131802,1252,114,0,0,13,18,7,1042,159,17,0,16,13,45
48,029,140100,344,23,45,44,11,24,3,240,54,30,0,16,43,8
48,029,140200,289,39,70,33,0,56,28,293,71,54,0,52,0,69
48,029,140300,455,106,42,0,15,0,0,589,16,28,0,0,0,38
48,029,140400,738,84,25,0,0,7,0,626,59,17,0,0,7,13
48,029,140500,736,71,10,0,0,22,22,742,110,44,0,0,0,15
48,029,140600,317,50,26,0,6,0,0,399,51,14,0,49,5,0
48,029,140700,727,64,53,0,0,0,0,708,158,62,14,0,0,55
48,029,140800,795,218,77,0,34,8,0,649,272,104,0,0,0,0
48,029,140900,292,63,14,0,1,16,0,223,73,4,0,3,0,5
48,029,141000,459,101,10,0,40,27,15,366,98,38,0,0,0,3
48,029,141101,554,137,47,0,16,0,0,464,80,102,0,41,0,4
48,029,141102,331,90,134,0,10,0,43,457,75,105,0,64,0,0
48,029,141200,909,432,134,0,15,0,71,1133,182,71,0,0,37,21
48,029,141300,810,343,29,0,0,15,0,937,207,68,0,0,0,45
48,029,141402,938,69,0,0,34,9,0,525,196,15,0,0,0,27
48,029,141403,841,210,13,0,65,9,60,357,310,104,0,0,0,0
48,029,141404,739,188,34,0,1,0,0,903,173,0,0,0,0,10
48,029,141600,986,163,0,0,0,30,5,822,81,0,0,0,26,24
48,029,141700,1075,103,4,0,0,29,37,747,158,10,0,0,0,21
48,029,141800,761,202,0,0,11,0,43,584,176,0,0,0,10,24
48,029,141900,1066,123,0,0,0,20,115,994,116,52,0,0,0,50
48,029,150100,981,179,7,16,40,38,28,651,189,124,0,0,0,23
48,029,150300,751,114,79,0,44,0,7,476,104,209,0,25,0,10
48,029,150400,497,164,12,0,25,0,34,396,202,7,0,3,0,9
48,029,150501,718,283,114,0,0,13,12,534,67,45,0,0,19,0
48,029,150502,765,90,71,0,0,9,9,538,93,0,0,0,0,0
48,029,150600,762,79,39,0,24,0,12,486,104,18,0,0,6,13
48,029,150700,760,325,136,0,56,0,18,823,140,169,0,31,0,0
48,029,150800,262,39,73,0,0,0,11,249,50,43,0,50,15,4
48,029,150900,975,261,50,0,21,0,0,796,77,48,0,14,0,27
48,029,151000,546,53,0,0,11,0,23,374,82,73,0,23,0,9
48,029,151100,1352,31,66,0,9,0,33,1022,60,0,13,0,0,49
48,029,151200,1970,435,61,0,0,60,25,1469,526,201,0,27,0,38
48,029,151301,804,345,26,0,27,12,0,702,181,16,0,0,0,0
48,029,151302,470,176,28,0,11,0,0,391,125,0,0,7,0,0
48,029,151400,786,240,9,0,21,0,28,440,178,57,0,39,0,0
48,029,151500,338,94,23,0,0,8,1,307,93,8,0,0,9,9
48,029,151600,1068,368,86,0,14,17,64,986,304,93,0,17,0,69
48,029,151700,1217,176,76,0,0,0,0,1160,92,40,0,11,0,12
48,029,151900,871,445,29,0,58,14,11,969,352,8,0,7,19,9
48,029,152000,276,114,39,0,13,0,23,270,37,0,0,0,0,17
48,029,152100,961,180,24,0,25,29,48,558,51,0,0,7,0,40
48,029,152201,1379,334,0,0,0,97,140,908,166,33,0,0,0,33
48,029,152202,706,347,0,0,51,0,10,491,206,0,0,0,0,9
48,029,160100,850,308,41,26,29,39,9,712,51,114,0,35,0,14
48,029,160200,356,63,10,0,18,31,19,374,54,13,0,0,24,0
48,029,160300,938,46,27,0,48,8,9,906,115,25,0,0,9,68
48,029,160400,632,143,96,0,0,0,36,661,226,37,0,0,9,12
48,029,160501,322,23,42,0,34,17,0,443,83,115,13,0,0,0
48,029,160502,517,142,60,0,0,0,29,600,183,22,0,0,0,53
48,029,160600,628,44,30,0,0,0,1,587,75,50,0,16,9,2
48,029,160701,621,79,15,0,15,11,12,338,157,21,0,0,27,24
48,029,160702,795,120,65,0,0,0,0,464,182,22,0,19,0,0
48,029,160901,408,153,67,0,0,6,0,278,59,29,0,14,0,24
48,029,160902,838,217,7,0,0,17,16,540,67,11,0,78,0,55
48,029,161000,535,218,5,0,0,11,0,336,13,29,0,31,11,12
48,029,161100,1532,343,102,0,34,39,100,1185,324,0,0,28,0,44
48,029,161200,450,69,0,0,6,42,18,377,29,0,0,0,6,0
48,029,161302,1001,198,0,0,0,0,11,759,148,0,0,20,21,18
48,029,161303,549,349,0,0,0,41,0,682,51,38,0,70,0,5
48,029,161304,685,98,10,0,0,11,0,397,179,0,0,35,8,25
48,029,161400,434,104,230,0,1306,527,2506,201,40,11,0,310,182,545
48,029,161501,1254,324,79,0,0,0,0,1144,77,30,0,13,0,44
48,029,161503,611,136,16,0,0,0,9,508,199,39,0,0,0,22
48,029,161504,893,201,35,0,0,0,0,546,187,32,0,0,5,7
48,029,161600,814,74,0,0,43,0,0,740,54,23,10,18,0,19
48,029,161801,774,54,0,12,0,9,0,626,61,20,0,0,0,20
48,029,161802,1385,209,28,0,0,24,13,1013,143,10,0,0,13,42
48,029,161901,283,25,0,0,55,0,16,153,11,0,0,0,0,27
48,029,161902,1406,570,0,0,0,0,62,851,260,0,0,0,0,20
48,029,162001,251,62,0,0,22,0,11,215,55,0,0,8,0,4
48,029,162003,828,191,0,0,44,10,15,854,154,0,0,19,5,50
48,029,162004,659,56,0,0,78,0,99,425,35,0,0,0,0,95
48,029,170101,494,182,36,32,19,0,22,356,126,42,0,0,6,0
48,029,170102,609,206,24,0,29,11,0,359,259,39,0,15,0,33
48,029,170200,483,377,141,0,18,0,45,473,94,132,0,23,0,38
48,029,170300,620,275,112,19,48,0,20,727,152,58,0,82,0,52
48,029,170401,393,99,34,0,0,0,23,606,45,51,0,40,10,24
48,029,170402,689,182,73,0,0,25,0,670,110,18,0,0,0,8
48,029,170500,760,133,92,16,0,9,10,595,136,46,5,7,0,0
48,029,170600,921,131,56,0,3,11,0,490,150,28,0,21,12,26
48,029,170700,776,66,31,14,0,17,0,609,72,133,0,13,0,0
48,029,170800,111,101,8,0,0,0,0,116,8,4,0,0,0,0
48,029,170900,431,79,14,0,17,0,0,468,45,63,0,28,0,22
48,029,171000,912,271,71,0,23,29,0,565,91,107,0,48,29,19
48,029,171100,523,160,23,0,14,0,0,344,95,12,0,0,0,0
48,029,171200,459,188,0,0,35,0,0,478,104,27,0,16,0,54
48,029,171301,466,20,23,0,13,0,0,365,44,0,0,0,0,0
48,029,171302,516,72,0,10,99,0,11,629,69,6,0,170,0,71
48,029,171401,851,172,61,0,0,0,16,705,113,29,0,0,13,0
48,029,171402,703,81,78,0,0,0,26,604,133,45,0,0,10,0
48,029,171501,352,81,27,18,0,0,0,372,24,26,0,7,0,18
48,029,171502,878,37,79,0,13,0,0,796,57,80,0,0,0,19
48,029,171601,665,48,24,0,0,0,27,651,45,51,0,0,0,21
48,029,171602,517,60,0,0,0,11,0,437,50,36,0,0,0,0
48,029,171700,1285,128,26,31,62,0,0,912,193,0,0,0,98,63
48,029,171801,1064,183,51,0,0,0,40,813,187,24,0,11,0,0
48,029,171802,677,219,149,0,0,37,20,850,79,201,0,57,0,40
48,029,171902,1998,453,28,0,59,43,92,2191,548,32,0,22,0,33
48,029,171903,1301,119,42,0,11,6,11,1108,105,37,0,0,0,0
48,029,171912,1407,200,11,0,15,11,47,1212,199,0,0,0,10,96
48,029,171913,791,157,28,0,0,25,9,1035,117,18,0,36,0,24
48,029,171914,1122,86,18,0,18,6,60,911,151,38,0,40,6,87
48,029,171915,354,98,0,0,1,22,0,425,67,0,0,0,0,23
48,029,171916,1622,108,32,0,0,0,65,1194,210,0,0,0,35,50
48,029,171917,1951,258,42,0,0,8,8,1803,303,16,0,0,0,31
48,029,171918,1455,252,0,0,0,19,5,1206,79,0,0,0,0,0
48,029,171919,843,148,0,0,0,43,0,503,247,0,0,0,8,0
48,029,171920,1868,395,30,0,1,0,26,1655,499,22,0,0,0,30
48,029,171921,1436,87,8,0,0,14,9,1191,41,38,0,0,0,0
48,029,171922,706,42,0,0,0,49,0,677,38,0,0,0,0,21
48,029,171923,2444,347,0,0,29,24,59,1836,380,15,0,0,0,25
48,029,171924,1590,195,0,0,0,58,9,1125,108,0,0,0,19,8
48,029,171925,1928,338,0,0,58,121,49,1916,257,0,0,0,0,66
48,029,172002,1964,333,0,0,15,93,125,1451,280,0,0,26,0,67
48,029,172003,1341,101,0,0,27,21,10,1059,150,0,0,8,0,138
48,029,172004,721,54,0,0,9,45,104,463,106,0,0,0,19,43
