state,county,tract,Citizen,Naturalized Citizen,Not a U.S. Citizen,English,Speaks Spanish,Speaks Other Language
48,029,181715,5280,370,289,3805,2097,37
48,029,181716,6090,341,337,3533,2982,253
48,029,181718,4659,162,128,3951,903,95
48,029,181720,4076,240,137,2960,1247,246
48,029,181721,3159,321,156,2434,953,249
48,029,181722,4030,281,183,2810,1546,138
48,029,181723,4186,288,151,3162,1389,74
48,029,181724,4521,317,162,3882,767,351
48,029,181725,4162,213,546,3001,1704,216
48,029,181726,7803,521,427,5768,2488,495
48,029,181727,2870,164,191,1955,1182,88
48,029,181728,8799,851,552,6014,3564,624
48,029,181729,3585,128,491,2840,1115,249
48,029,181730,3324,283,140,2296,1340,111
48,029,181731,6241,331,275,4668,2087,92
48,029,181808,1071,118,210,774,506,119
48,029,181809,4802,591,512,3485,2082,338
48,029,181811,3140,474,151,2328,1096,341
48,029,181813,4531,457,1155,3497,1817,829
48,029,181814,3336,97,331,2673,797,294
48,029,181815,3157,154,240,2580,715,256
48,029,181816,3962,415,72,2766,1459,224
48,029,181817,2640,285,283,1964,1105,139
48,029,181818,3933,120,651,3079,1355,270
48,029,181819,4641,480,533,3541,1724,389
48,029,181820,4662,426,798,3801,1116,969
48,029,181821,2701,308,292,2047,794,460
48,029,181822,4193,310,244,3279,1273,195
48,029,181823,2463,167,148,1682,904,192
48,029,181824,4594,327,191,3279,1475,358
48,029,181825,2744,235,124,2288,643,172
48,029,181826,5329,343,420,4239,1579,274
48,029,181901,2391,222,975,1853,911,824
48,029,181902,5226,394,249,4540,824,505
48,029,182001,4295,357,235,3395,954,538
48,029,182002,7714,633,438,6577,1794,414
48,029,182003,2765,288,451,2377,638,489
48,029,182101,6722,287,111,5914,1040,166
48,029,182102,6136,544,253,5408,1295,230
48,029,182103,2173,88,11,1858,378,36
48,029,182105,2199,90,19,1705,539,64
48,029,182106,5697,270,120,4857,980,250
48,029,190100,2807,207,300,1457,1812,45
48,029,190200,4152,187,74,2946,1316,151
48,029,190400,3565,118,281,2938,658,368
48,029,190501,2112,53,286,1206,1235,10
48,029,190503,2817,354,197,1479,1773,116
48,029,190504,1876,189,383,1055,1333,60
48,029,190601,2176,312,957,677,2758,10
48,029,190603,2308,77,261,1175,1471,0
48,029,190604,2623,322,1110,838,3217,0
48,029,190700,2268,139,217,1419,1181,24
48,029,190800,1833,32,19,1571,284,29
48,029,190901,4678,402,608,2607,2667,414
48,029,190902,3095,274,366,1874,1822,39
48,029,191003,5868,424,1171,3412,3890,161
48,029,191004,2921,358,299,1661,1857,60
48,029,191005,1719,204,250,819,1336,18
48,029,191006,4474,354,993,2020,3801,0
48,029,191101,1309,96,26,1137,258,36
48,029,191102,2264,223,126,1800,709,104
48,029,191201,2685,82,31,2233,552,13
48,029,191202,4304,190,508,3031,1739,232
48,029,191303,1454,14,22,1081,395,14
48,029,191304,1611,0,867,1070,1408,0
48,029,191405,6418,462,471,5463,1634,254
48,029,191406,6007,523,319,5279,1076,494
48,029,191408,2430,119,344,1655,1142,96
48,029,191409,4868,290,806,3017,2760,187
48,029,191410,4410,402,506,3183,1817,318
48,029,191411,3914,99,195,3455,562,191
48,029,191412,1875,187,51,1698,311,104
48,029,191413,5095,450,332,3876,1575,426
48,029,191503,4250,375,246,3565,949,357
48,029,191504,2118,275,131,1739,478,307
48,029,191505,1864,147,96,1735,299,73
48,029,191506,4394,268,453,3452,1547,116
48,029,191701,1393,62,32,1243,179,65
48,029,191702,6538,253,283,5721,1113,240
