state,county,tract,B11001B_003E,B11001B_005E,B11001B_006E,B11001B_008E,B11001B_009E,B11001C_003E,B11001C_005E,B11001C_006E,B11001C_008E,B11001C_009E,B11001D_003E,B11001D_005E,B11001D_006E,B11001D_008E,B11001D_009E,B11001E_003E,B11001E_005E,B11001E_006E,B11001E_008E,B11001E_009E,B11001F_003E,B11001F_005E,B11001F_006E,B11001F_008E,B11001F_009E,B11001G_003E,B11001G_005E,B11001G_006E,B11001G_008E,B11001G_009E,B11001H_003E,B11001H_005E,B11001H_006E,B11001H_008E,B11001H_009E,B11001I_003E,B11001I_005E,B11001I_006E,B11001I_008E,B11001I_009E
48,021,950801,20,0,0,0,0,21,0,0,34,12,0,0,0,0,0,0,0,0,0,0,75,44,0,0,0,0,0,0,0,12,495,19,71,179,43,741,78,131,82,86
48,021,950802,18,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,26,0,0,0,0,0,0,0,734,134,43,258,38,569,24,98,64,20
48,023,950300,7,0,0,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,44,0,769,28,120,671,24,41,0,18,54,0
48,025,950100,3,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,11,0,2,0,0,11,0,224,4,71,90,4,111,2,13,48,0
48,025,950201,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,140,28,2,102,0,67,0,24,6,1
48,025,950202,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,71,50,0,11,0,0,24,0,740,19,19,337,12,464,15,192,185,0
48,025,950300,0,0,2,47,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,45,0,0,6,0,8,6,10,473,0,64,362,66,412,13,293,240,57
48,025,950400,20,8,18,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,20,36,0,0,0,0,3,0,153,7,22,112,5,185,28,94,118,0
48,025,950500,6,0,0,0,25,9,13,0,0,0,0,4,0,6,0,0,0,0,0,0,208,22,113,61,23,8,0,0,15,0,192,36,58,198,0,593,228,514,263,117
48,025,950600,13,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,26,6,0,9,0,0,0,11,235,13,55,95,30,245,6,124,25,23
48,027,020100,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,4,0,27,14,0,4,0,1250,57,116,407,62,195,4,68,16,0
48,027,020201,65,0,0,0,0,12,0,0,0,0,26,0,0,0,0,0,0,0,0,0,18,0,0,15,0,0,0,0,35,0,1459,13,157,283,43,118,61,0,15,0
48,027,020202,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,35,0,0,0,0,1094,126,147,301,74,94,0,66,0,0
48,027,020300,161,0,89,15,0,20,0,0,0,0,66,0,0,0,0,0,0,0,0,0,34,13,22,0,0,54,0,13,0,0,1507,88,274,382,62,295,13,49,72,0
48,027,020401,196,30,49,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,9,0,0,0,0,0,0,0,287,0,102,212,26,35,24,9,88,0
48,027,020402,26,35,59,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,230,11,31,92,0,77,30,8,28,0
48,027,020500,102,13,22,38,38,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,21,0,9,20,0,0,0,0,11,9,468,24,118,215,36,139,43,38,57,9
48,027,020600,33,38,54,19,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,372,6,48,210,48,43,16,10,27,16
48,027,020701,6,0,10,117,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,0,9,4,39,11,21,228,16,31,0,34,66,0
48,027,020702,51,0,48,8,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,12,12,0,0,4,0,0,0,53,0,41,106,17,153,24,39,58,0
48,027,020800,121,71,307,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,12,11,0,0,0,14,0,0,92,10,43,30,0,171,10,97,34,0
48,027,020900,39,8,75,179,12,0,0,0,0,0,0,0,0,0,18,0,0,0,8,0,3,8,8,19,0,0,0,0,0,0,76,0,32,221,0,73,19,55,57,22
