state,county,tract,B16008_006E,B16008_007E,B16008_009E,B16008_010E,B16008_014E,B16008_015E,B16008_017E,B16008_018E,B16008_022E,B16008_024E,B16008_025E,B16008_027E,B16008_028E,B16008_030E,B16008_032E,B16008_033E,B16008_035E,B16008_036E,B16008_039E,B16008_041E,B16008_042E,B16008_044E,B16008_045E,B16008_047E,B16008_049E,B16008_050E,B16008_052E,B16008_053E
48,439,121608,30,0,41,0,143,45,35,11,0,0,0,0,0,82,0,56,121,35,0,0,0,5,0,22,15,20,0,8
48,439,121609,0,0,146,0,19,19,0,0,0,0,0,25,0,262,0,0,216,206,0,0,0,0,0,14,0,0,35,11
48,439,121610,0,0,0,0,68,4,0,0,0,0,0,0,0,28,8,0,0,0,0,0,0,0,0,2,0,14,35,0
48,439,121611,38,18,52,30,132,0,27,0,8,0,0,0,0,51,30,17,97,83,0,0,0,10,0,9,11,47,24,31
48,439,121702,18,0,0,0,105,13,19,0,0,0,0,0,0,21,7,0,0,46,0,0,0,0,0,24,0,129,0,49
48,439,121703,332,238,6,0,198,83,34,0,0,0,0,8,0,0,89,60,48,50,19,82,119,20,0,76,115,1002,156,209
48,439,121704,174,99,0,0,122,81,6,0,0,0,0,0,0,9,3,69,46,31,0,85,28,0,0,60,109,825,0,10
48,439,121903,409,321,26,13,344,33,0,0,0,0,10,19,0,0,37,221,69,63,0,169,25,0,0,79,155,1685,31,28
48,439,121904,375,87,0,0,277,0,14,0,0,0,0,0,0,28,37,77,0,31,0,19,0,0,0,32,106,847,43,38
48,439,121905,418,73,210,77,316,48,0,7,0,0,0,0,0,26,85,92,82,561,0,34,20,14,0,101,129,836,202,326
48,439,121906,319,106,30,41,251,65,16,0,0,0,0,0,0,0,7,61,57,103,0,49,100,0,0,54,150,1017,20,47
48,439,122001,551,195,18,0,262,52,46,0,0,0,0,0,0,0,44,129,0,56,0,104,100,0,0,9,153,933,0,8
48,439,122002,557,286,18,5,412,136,0,0,0,0,0,0,0,29,38,91,7,90,0,88,65,0,0,0,330,1031,36,30
48,439,122100,338,42,0,36,383,206,55,0,0,0,0,46,0,10,14,130,79,53,0,89,0,0,0,24,155,616,0,60
