state,county,tract,travel.time.to.work_less than 10 minutes,travel.time.to.work_10 to 14 minutes,travel.time.to.work_15 to 19 minutes,travel.time.to.work_20 to 24 minutes,travel.time.to.work_25 to 29 minutes,travel.time.to.work_30 to 34 minutes,travel.time.to.work_35 to 44 minutes,travel.time.to.work_45 to 59 minutes,travel.time.to.work_60 minutes or more
48,029,150700,1040,4070,5010,10500,4250,9030,3795,5355,15440
48,029,150800,,,,,,,,,
48,029,150900,,,,,,,,,
48,029,151000,,,,,,,,,
48,029,151100,1725,1675,7320,12000,1900,9060,4220,4995,21805
48,029,151200,2545,7610,11445,12360,14075,27270,4570,15930,18160
48,029,151301,1290,1525,4410,8860,4150,13230,5785,4365,7680
48,029,151302,615,1520,2820,3090,1475,5610,3245,5040,7920
48,029,151400,385,2360,6430,6925,3400,8130,1920,4915,15475
48,029,151500,,,,,,,,,
48,029,151600,1205,4870,5790,8460,4400,14370,12295,12730,9920
48,029,151700,2180,3630,7445,8740,4150,10890,9560,8110,9320
48,029,151900,1560,3025,6805,6820,7100,15240,9680,11150,7560
48,029,152000,460,850,1825,3460,830,2940,1975,2430,2550
48,029,152100,335,1420,1530,2920,4315,10740,9445,12325,20790
48,029,152201,505,1870,4035,6240,5420,20430,14200,17285,30665
48,029,152202,245,1540,2520,3440,2350,12540,16670,8830,13560
48,029,160100,,,,,,,,,
48,029,160200,,,,,,,,,
48,029,160300,1095,2035,7430,9945,7175,5430,3835,3635,6665
48,029,160400,515,2010,6640,9580,1875,6990,2275,4120,13680
48,029,160501,80,1770,3420,4540,2255,5760,2075,2205,3415
48,029,160502,630,2070,2340,5455,7210,7650,1880,4590,6525
48,029,160600,695,1330,3885,6740,3090,7230,4375,2990,4060
48,029,160701,,,,,,,,,
48,029,160702,760,1545,5605,5180,5425,10440,2320,1285,8120
48,029,160901,365,2180,930,2540,1950,8240,3025,2205,3480
48,029,160902,,,,,,,,,
48,029,161000,690,710,3290,3540,1375,10200,2230,1440,7180
48,029,161100,915,3655,7005,16395,8650,25790,8760,4470,17355
48,029,161200,280,2540,2355,4740,1500,2730,2670,1260,2670
48,029,161302,145,1575,5600,10160,5950,14910,4600,7260,5100
48,029,161303,860,1255,2705,8120,3850,9120,5795,6565,8340
48,029,161304,,,,,,,,,
48,029,161400,8575,4530,4875,2520,5250,3210,,1800,13420
48,029,161501,1645,750,9900,9780,7300,16680,10335,9575,4560
48,029,161503,605,2080,4155,3940,4350,3780,5625,6435,9810
48,029,161504,,,,,,,,,
48,029,161600,640,2330,7935,3980,5100,7770,3270,4455,4190
48,029,161801,,,,,,,,,
48,029,161802,,,,,,,,,
48,029,161901,,,,,,,,,
48,029,161902,380,730,3765,8115,7975,28650,15905,21010,9640
48,029,162001,345,170,1835,1920,850,4800,625,3480,1500
48,029,162003,940,940,2015,4550,2100,13560,10825,19660,13110
48,029,162004,585,1770,885,4260,2375,10650,3990,1815,4220
48,029,170101,,,,,,,,,
48,029,170102,,,,,,,,,
48,029,170200,,,,,,,,,
48,029,170300,1760,2585,3840,9320,2325,5490,3395,10200,17490
48,029,170401,,,,,,,,,
48,029,170402,1120,2040,3480,4260,1225,15000,4620,5130,7735
48,029,170500,280,4850,4185,7120,2650,9420,2600,3555,3900
48,029,170600,965,2700,6205,6640,3475,8190,2200,5310,3930
48,029,170700,585,1770,5595,6380,4635,11760,2310,2340,4350
48,029,170800,,,,,,,,,
48,029,170900,,,,,,,,,
48,029,171000,440,1340,5685,8800,3190,9840,9345,6235,24395
48,029,171100,155,430,2400,3760,3425,12450,2050,3375,3720
48,029,171200,,,,,,,,,
48,029,171301,,,,,,,,,
48,029,171302,730,2265,4290,6820,3875,5340,3210,2160,2520
48,029,171401,615,1940,5350,7700,4175,14790,4775,1600,8400
48,029,171402,520,1550,3435,5420,5150,10350,6920,3600,8190
48,029,171501,,,,,,,,,
48,029,171502,,,,,,,,,
48,029,171601,,,,,,,,,
48,029,171602,310,1390,3580,4600,1175,6780,3480,1395,3060
48,029,171700,1165,4715,4815,6960,6300,18690,8595,4590,11960
48,029,171801,640,2220,6300,7330,8250,7860,7750,9275,16590
48,029,171802,1240,3330,4350,8140,8275,3960,2955,8100,12515
48,029,171902,2865,11150,11455,20880,12660,20880,17915,8710,9670
48,029,171903,1010,4595,7350,8540,7350,16200,3000,7250,9455
48,029,171912,1150,2295,5490,11040,8950,16530,9440,13220,21850
48,029,171913,615,3140,6510,7500,3800,16470,5515,3645,6940
48,029,171914,1805,1810,6225,5990,4750,14550,6560,10185,6990
48,029,171915,305,1410,2495,3780,1350,2490,3880,5880,2520
48,029,171916,685,4530,8055,12835,8400,20095,5520,8465,8490
48,029,171917,3980,4035,8850,14880,14615,21150,3665,19545,5760
48,029,171918,1185,2115,9625,10510,6160,18075,6680,3010,27730
48,029,171919,,,,,,,,,
48,029,171920,520,3770,9900,19675,6830,24810,26775,15155,18780
48,029,171921,205,1300,6615,13750,3315,24440,2755,16405,13455
48,029,171922,,,,,,,,,
48,029,171923,1550,5960,14505,28985,8200,21720,10630,15165,3960
48,029,171924,1900,2410,9180,13535,5750,19350,3885,5820,9630
48,029,171925,1050,4890,7395,16630,22375,33090,12470,10315,5580
48,029,172002,1145,1920,14365,11770,6965,24520,19610,18400,20340
48,029,172003,375,1490,7325,11240,2500,13850,8535,22945,11325
48,029,172004,,,,,,,,,
48,029,172005,805,2240,3095,8260,3400,17100,11575,18595,14080
48,029,172006,965,2100,4395,11760,8200,22530,21995,22370,17160
48,029,172007,600,2875,10265,11835,12360,34800,14595,28790,11275
48,029,180101,920,2115,5160,13630,5775,7200,2515,5620,6145
48,029,180102,,,,,,,,,
48,029,180201,,,,,,,,,
48,029,180202,,,,,,,,,
48,029,180300,,,,,,,,,
48,029,180400,,,,,,,,,
48,029,180501,545,2060,2215,9440,5950,7920,3930,1925,9870
48,029,180503,,,,,,,,,
48,029,180504,620,1540,1890,7620,2850,8310,4590,2895,7190
48,029,180602,,,,,,,,,
48,029,180603,,,,,,,,,
48,029,180604,,,,,,,,,
48,029,180701,1525,3750,6575,8380,2125,6450,,3015,2420
48,029,180702,1995,2490,11395,9700,7175,12900,5990,9190,18415
48,029,180800,,,,,,,,,
48,029,180901,,,,,,,,,
48,029,180902,2400,4205,8850,19820,4305,16080,2360,4625,10050
48,029,181001,1465,2565,5535,6700,3325,3090,3295,,4965
48,029,181003,1530,5520,10920,14390,6200,6420,4255,2430,8520
48,029,181004,,,,,,,,,
48,029,181005,,,,,,,,,
48,029,181100,2120,7535,11400,8220,1625,7050,,2870,10460
48,029,181200,,,,,,,,,
48,029,181301,1395,2715,12635,14840,2375,13730,,3060,5460
48,029,181302,3165,7115,9125,15725,4490,8640,3110,2530,5960
48,029,181303,,,,,,,,,
48,029,181402,,,,,,,,,
48,029,181403,,,,,,,,,
48,029,181404,,,,,,,,,
48,029,181503,2670,6655,6980,11290,8610,15990,8200,5090,6250
48,029,181504,,,,,,,,,
48,029,181505,1510,3660,6985,11040,5150,7560,2300,5100,5580
48,029,181506,1470,3160,4065,7380,6175,12180,5245,5525,3600
48,029,181601,,,,,,,,,
48,029,181602,1375,2690,7965,6080,4730,16170,3240,5085,8970
48,029,181703,,,,,,,,,
48,029,181704,,,,,,,,,
48,029,181705,,,,,,,,,
48,029,181711,550,4225,6715,13420,10275,29160,15590,16600,21815
48,029,181712,355,1850,3785,6180,2745,16650,7775,5795,5265
48,029,181713,1025,2180,5225,14050,14550,25770,13470,8625,5220
48,029,181715,455,5590,3795,7795,5365,17370,8385,19185,12440
48,029,181716,1640,3185,7065,10640,9425,21840,8080,15950,18550
48,029,181718,1580,3030,5580,9320,2525,12540,9830,15965,12330
48,029,181720,615,2785,2310,8480,2725,20790,3245,9865,6840
48,029,181721,,,,,,,,,
48,029,181722,480,1030,3375,12480,6800,17660,6815,14850,14840
48,029,181723,,,,,,,,,
48,029,181724,695,2720,2815,3940,4280,20850,16580,16635,10620
48,029,181725,,,,,,,,,
48,029,181726,1755,3660,6240,14260,10500,27540,14670,39855,31100
48,029,181727,1025,1370,4155,5555,3400,11640,3630,6905,3270
48,029,181728,1675,4890,10025,22500,17570,17490,19120,21840,19485
48,029,181729,590,660,3525,8485,5495,15060,4695,6980,8970
48,029,181730,250,2820,4735,5540,2600,18270,3165,6750,7710
48,029,181731,1865,4180,7535,7020,9375,30660,7910,12830,11680
48,029,181808,,,,,,,,,
48,029,181809,765,4080,6995,13300,5045,20340,6700,7290,5520
48,029,181811,875,2380,4310,5390,5940,11070,6710,6120,5740
48,029,181813,2630,6570,6065,12680,11275,10440,9920,4890,15355
48,029,181814,915,3870,6680,8640,2775,9270,2195,8145,4840
48,029,181815,,,,,,,,,
48,029,181816,350,4365,3960,13190,6100,8760,1560,1450,15600
48,029,181817,,,,,,,,,
48,029,181818,745,2720,7155,10440,3675,13670,4815,4315,10680
48,029,181819,,,,,,,,,
48,029,181820,,,,,,,,,
48,029,181821,300,3660,6755,4940,5095,7830,1295,7830,14000
48,029,181822,835,4830,7890,11200,7645,13680,4320,10005,
48,029,181823,,,,,,,,,
48,029,181824,700,3935,6295,9735,6525,11700,5465,11480,1700
48,029,181825,340,2065,3250,8880,5775,7560,6120,5355,2040
48,029,181826,1200,5360,7275,16340,6575,17550,8420,7605,5505
48,029,181901,3440,3120,4315,5005,1825,5100,2310,2860,1730
48,029,181902,525,2375,8780,11295,4125,17520,5945,6925,10560
48,029,182001,1140,460,5840,7940,6475,19230,10925,5615,3900
48,029,182002,1405,3810,6555,14365,9325,25290,24575,20025,14490
48,029,182003,,,,,,,,,
48,029,182101,570,3995,3595,9500,4985,20365,14685,17445,12305
48,029,182102,1370,2175,3645,10250,8550,27525,10295,12015,16560
48,029,182103,215,1335,1710,1620,2850,6840,5390,8725,6145
48,029,182105,,,,,,,,,
48,029,182106,425,2070,4835,12080,7900,14460,15030,18500,7200
48,029,190100,,,,,,,,,
48,029,190200,1435,5655,4560,11840,2050,4530,2745,2655,4630
48,029,190400,,,,,,,,,
48,029,190501,,,,,,,,,
48,029,190503,,,,,,,,,
48,029,190504,,,,,,,,,
48,029,190601,,,,,,,,,
48,029,190603,530,2590,6215,4740,1600,4050,1155,2250,1560
48,029,190604,,,,,,,,,
